SPICY,ra,dec,l,b,GaiaDR2,source_id,parallax,D
116716,338.083215,58.300674,105.491643,0.219681,2008009296654619648,2008009296654619648,1.7116640515332455,0.5842267932800463
116744,338.132831,58.317413,105.522597,0.220883,2008009365374140288,2008009365374140288,0.600567555,1.6650916148808603
116748,338.137733,58.334583,105.53352,0.234378,2008009464148156800,2008009464148156800,0.2630804058213349,3.801119269517652
116780,338.22892,58.262572,105.538378,0.148017,2008009498508997632,2008009498508997632,0.4723518839053659,2.1170657598146607
116726,338.10343,58.326979,105.514142,0.236958,2008012281646661888,2008012281646661888,0.2320477148325836,4.309458512536847
116722,338.097802,58.330452,105.513358,0.24145,2008012285950698752,2008012285950698752,0.074594561,13.405803138917861
116721,338.097515,58.340946,105.518553,0.250569,2008012350370425344,2008012350370425344,0.2490830338990581,4.014725468637314
116749,338.140531,58.342852,105.538978,0.240761,2008012419085719168,2008012419085719168,0.3870905791554992,2.583374677269754
116727,338.114532,58.354413,105.533081,0.257644,2008012453445531904,2008012453445531904,0.5815956956773658,1.7194074980822065
116734,338.124884,58.368211,105.544759,0.266781,2008012698267516928,2008012698267516928,0.5104322431047932,1.9591238866834226
116707,338.047981,58.401632,105.526989,0.316039,2008013656040505344,2008013656040505344,1.052065884055997,0.9505108141561733
116702,338.043218,58.394125,105.521025,0.310842,2008013660340088320,2008013660340088320,0.098806057,10.12083702520383
116705,338.046098,58.410893,105.530845,0.324517,2008013724756203264,2008013724756203264,2.0983695315898365,0.47656048419762687
116778,338.222814,58.398848,105.604543,0.267197,2008014102717088384,2008014102717088384,1.1280599687694053,0.8864776941698363
116757,338.16049,58.383503,105.568604,0.2705,2008014171436564096,2008014171436564096,1.689993527662725,0.5917182424852291
116753,338.145606,58.393946,105.56717,0.283456,2008014240152169728,2008014240152169728,0.7975265715858406,1.2538767178773131
116762,338.17961,58.413505,105.59244,0.291294,2008014274515797888,2008014274515797888,0.3777720455748445,2.6470989892286223
116776,338.217449,58.421607,105.613632,0.28825,2008014347540614656,2008014347540614656,0.146460479261617,6.827780470482665
116777,338.222187,58.506259,105.658595,0.360017,2008015923783259008,2008015923783259008,0.2574137032078009,3.8847970700018863
116800,338.313822,58.53704,105.715441,0.362403,2008021936737475072,2008021936737475072,0.2727462981956864,3.6664108976560086
116824,338.539815,58.568928,105.833376,0.330625,2008022967527240576,2008022967527240576,0.8046722075001579,1.2427420640097153
116750,338.140671,58.497915,105.617644,0.374389,2008027296853761024,2008027296853761024,0.634279543,1.5765919160347255
116752,338.142034,58.523716,105.631336,0.396269,2008027606091484672,2008027606091484672,0.6784014037795959,1.4740535535874089
116732,338.123367,58.522366,105.62225,0.400047,2008028327645379200,2008028327645379200,0.1094610334028284,9.135671105167555
116765,338.182396,58.586776,105.681439,0.439969,2008029049200658816,2008029049200658816,0.067064012,14.911126999082608
116840,338.664027,58.754956,105.982488,0.459258,2008036883223692800,2008036883223692800,1.6413792356135275,0.6092437252175986
116786,338.26228,58.685507,105.767252,0.504103,2008038498129282304,2008038498129282304,0.1255001363380392,7.968118833803206
116993,340.18002,58.508849,106.549511,-0.142194,2008168927694263808,2008168927694263808,0.7908840156220499,1.264407903368075
117032,341.094263,58.824963,107.117993,-0.089553,2008261595910620544,2008261595910620544,0.6332930504948475,1.579047802938327
117068,341.45134,58.860601,107.298052,-0.144147,2008264314620148224,2008264314620148224,0.6906024618105271,1.4480110559964365
117073,341.509316,58.920437,107.352325,-0.105006,2008267505785664640,2008267505785664640,0.2306946328351053,4.334734569723496
117086,341.57026,59.160479,107.49117,0.0933,2008284140190746240,2008284140190746240,0.099924747,10.007530967278806
117162,341.956233,59.03184,107.608092,-0.112064,2008289740828488192,2008289740828488192,2.386803511864793,0.4189703907460347
117139,341.779274,59.246445,107.625759,0.120278,2008308325154932992,2008308325154932992,0.926970381,1.0787831202559213
117145,341.797885,59.274264,107.646987,0.140619,2008308496950220160,2008308496950220160,0.3453169175795977,2.8958905547090485
117116,341.697844,59.254528,107.592509,0.146606,2008311009515735296,2008311009515735296,0.004964757,201.41972708835496
117148,341.809378,59.363604,107.693215,0.217294,2008314136251912192,2008314136251912192,0.2551571156179549,3.9191538812395637
117213,342.516014,59.489708,108.070694,0.166331,2008318087613995904,2008318087613995904,0.6663290395180217,1.5007600460026984
116971,339.64423,58.555239,106.32722,0.033781,2008339386358712704,2008339386358712704,1.1839940913533251,0.8445988094898204
116965,339.604186,58.60359,106.332581,0.086172,2008340451505589504,2008340451505589504,0.2338740350659475,4.275805989827051
